GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FinFlow Backend,com.finflow.modules.accounts.domain,HoldStatus,0,21,0,0,0,4,0,1,0,1
FinFlow Backend,com.finflow.modules.accounts.domain,Hold,65,51,9,1,16,17,16,4,11,4
FinFlow Backend,com.finflow.modules.accounts.dto,StatusHistoryResponse,21,0,0,0,1,0,1,0,1,0
FinFlow Backend,com.finflow.modules.accounts.dto,UpdateAccountRequest,9,0,0,0,1,0,1,0,1,0
FinFlow Backend,com.finflow.modules.accounts.dto,ChangeStatusRequest,0,9,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.accounts.dto,CreateAccountRequest,0,12,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.accounts.dto,AccountSummaryResponse,27,0,0,0,1,0,1,0,1,0
FinFlow Backend,com.finflow.modules.accounts.dto,PlaceHoldRequest,0,18,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.accounts.dto,AccountDetailResponse,0,42,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.accounts.dto,HoldResponse,0,30,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.transfers.mapper,TransferMapper,107,0,14,0,30,0,10,0,3,0
FinFlow Backend,com.finflow.modules.auth.service,RefreshTokenRevokedEvent,41,0,0,0,15,0,8,0,8,0
FinFlow Backend,com.finflow.modules.auth.service,RefreshTokenRotatedEvent,47,0,0,0,17,0,9,0,9,0
FinFlow Backend,com.finflow.modules.auth.service,RefreshTokenService.RefreshResult,9,0,0,0,1,0,1,0,1,0
FinFlow Backend,com.finflow.modules.auth.service,RegistrationService,115,4,0,0,28,1,3,1,3,1
FinFlow Backend,com.finflow.modules.auth.service,SessionService.RefreshTokenSession,18,0,0,0,1,0,1,0,1,0
FinFlow Backend,com.finflow.modules.auth.service,TokenRevocationService,221,0,12,0,47,0,13,0,7,0
FinFlow Backend,com.finflow.modules.auth.service,UserLoggedInEvent,44,0,0,0,14,0,8,0,8,0
FinFlow Backend,com.finflow.modules.auth.service,TokenRotationService,209,0,6,0,40,0,9,0,6,0
FinFlow Backend,com.finflow.modules.auth.service,RedisSessionCache,286,0,10,0,73,0,15,0,10,0
FinFlow Backend,com.finflow.modules.auth.service,RefreshTokenReuseDetectedEvent,47,0,0,0,17,0,9,0,9,0
FinFlow Backend,com.finflow.modules.auth.service,AuthenticationService,419,0,21,0,95,0,20,0,9,0
FinFlow Backend,com.finflow.modules.auth.service,SessionService,433,0,18,0,87,0,22,0,13,0
